"","Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"1397","University of Memphis","Memphis","TN",15563,"Public","South East",0.843,23,19,19,22676,7992,80406,0.6019404019,0.552799987792968,0.406199989318847,0.0275,0.0148000001907348,0.349358974359,0.427780144866,16750,37400
"1398","University of Miami","Coral Gables","FL",10873,"Private","South East",0.3215,31,29,29,65298,30749,111303,0.5744101633,0.78870002746582,0.117700004577636,0.259300003051757,0.0302999997138977,0.676602086438,0.786717752235,15577,60100
"1399","University of Michigan-Ann Arbor","Ann Arbor","MI",30079,"Public","Great Lakes",0.2283,32,30,30,29407,24489,104598,0.5349348406,0.816399993896484,0.101000003814697,0.0455000019073486,0.0401000022888183,0.828416616496,0.875220718069,15459,63400
"1400","University of Michigan-Dearborn","Dearborn","MI",6965,"Public","Great Lakes",0.7797,27,23,23,19694,12612,91755,0.5116453794,0.762600021362304,0.161499996185302,0.0310999989509582,0.0248000001907348,0.402031930334,0.441387559809,17500,48600
"1401","University of Michigan-Flint","Flint","MI",5343,"Public","Great Lakes",0.6626,23,19,19,20991,11208,81693,0.6531165312,0.837300033569336,0.121400003433227,0.0249000000953674,0.0093000000715255,0.32389380531,0.424742268041,19000,40600
"1402","University of Minnesota-Crookston","Crookston","MN",1834,"Public","Plains",0.6592,22,19,19,23374,6031,67239,0.4896851249,0.917099990844726,0.0232999992370605,0.0415999984741211,0.0111000001430511,0.425531914894,0.411320754717,13854,44800
"1403","University of Minnesota-Duluth","Duluth","MN",9108,"Public","Plains",0.7432,24,21,21,24300,8827,75969,0.4882111738,0.929499969482422,0.0174000000953674,0.0185000002384185,0.0187000000476837,0.453201970443,0.495735607676,15750,47200
"1404","University of Minnesota-Morris","Morris","MN",1488,"Public","Plains",0.6279,25,22,22,23844,5069,65412,0.5892053973,0.895100021362304,0.0328999996185302,0.0284999990463256,0.0214000010490417,0.475138121547,0.57476635514,13000,40700
"1406","University of Minnesota-Twin Cities","Minneapolis","MN",31451,"Public","Plains",0.5187,29,26,26,26443,13669,107343,0.5593906672,0.879499969482422,0.0442999982833862,0.0325,0.0344000005722045,0.690828402367,0.712333224862,16751,51900
"1407","University of Mississippi","University","MS",17784,"Public","South East",0.8806,25,21,21,24822,11133,82953,0.608056266,0.704400024414062,0.265300006866455,0.0222000002861022,0.0104999995231628,0.469358327325,0.559922367783,15000,42700
"1408","University of Missouri-Columbia","Columbia","MO",22030,"Public","Plains",0.7784,26,23,23,26259,11515,86724,0.5432424917,0.874499969482422,0.0810999965667724,0.0230999994277954,0.0178999996185302,0.526663910707,0.622082252686,18250,48300
"1409","University of Missouri-Kansas City","Kansas City","MO",7681,"Public","Plains",0.5648,25,21,21,20934,12016,81369,0.6063576159,0.790699996948242,0.148000001907348,0.0465000009536743,0.0164999997615814,0.46723952739,0.470669427191,14000,45700
"1410","University of Missouri-St Louis","Saint Louis","MO",7136,"Public","Plains",0.7255,24,21,21,22810,8797,78075,0.6098868374,0.765699996948242,0.195400009155273,0.0172000002861022,0.0162999999523162,0.481171548117,0.504804612428,16718,42900
"1411","University of Mobile","Mobile","AL",1294,"Private","South East",0.4704,22,18,18,35463,10177,43767,0.6732804233,0.710400009155273,0.251000003814697,0.0231999993324279,0.0102999997138977,0.366666666667,0.262589928058,19500,35200
"1412","University of Montevallo","Montevallo","AL",2251,"Public","South East",0.4848,24,20,20,24411,8343,69390,0.6827586207,0.778000030517578,0.192999992370605,0.0207999992370605,0.0075999999046325,0.346341463415,0.436123348018,17213,34200
"1413","University of Mount Olive","Mount Olive","NC",2853,"Private","South East",0.5296,19,17,17,29746,9432,65502,0.7031403337,0.668199996948242,0.267199993133544,0.0588000011444091,0.0114999997615814,0.390449438202,0.383190883191,19474,39500
"1414","University of Mount Union","Alliance","OH",2155,"Private","Great Lakes",0.9641,23,20,20,41620,13780,65628,0.4532304725,0.926100006103515,0.0467999982833862,0.0165999996662139,0.0087000000476837,0.508417508418,0.737373737374,20500,42900
"1415","University of Nebraska-Lincoln","Lincoln","NE",20592,"Public","Plains",0.7961,26,22,22,23936,10061,98424,0.5250610369,0.918099975585937,0.0248000001907348,0.0436999988555908,0.0157000005245208,0.508504398827,0.567551266586,13919,46400
