"","Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"794","Mount Aloysius College","Cresson","PA",1155,"Private","Mid East",0.9163,20,17,17,35293,13948,61083,0.7487437186,0.966100006103515,0.0188999998569488,0.0097000002861022,0.0040999999642372,0.47619047619,0.496567505721,18500,40800
"797","Mount Marty College","Yankton","SD",584,"Private","Plains",0.6922,21,18,18,38784,10438,60507,0.6840390879,0.936999969482422,0.0079000002145767,0.0208999991416931,0.0060000002384185,0.415094339623,0.511811023622,17500,36600
"799","Mount Mercy University","Cedar Rapids","IA",1488,"Private","Plains",0.6281,22,19,19,44311,13706,61074,0.7172413793,0.948799972534179,0.0198000001907348,0.0186000001430511,0.0110000002384185,0.519230769231,0.713178294574,16793,45300
"800","Mount Saint Joseph University","Cincinnati","OH",1185,"Private","Great Lakes",0.6032,23,20,20,37036,16239,59382,0.5670816044,0.857300033569336,0.113500003814697,0.0108000004291534,0.0117999994754791,0.248677248677,0.539170506912,19500,41400
"801","Mount Saint Mary's University","Los Angeles","CA",2349,"Private","Far West",0.8382,20,17,17,54912,24643,80982,0.9312461633,0.479599990844726,0.10789999961853,0.448699989318847,0.113400001525878,0.508196721311,0.602721088435,20417,53200
"802","Mount Saint Mary College","Newburgh","NY",1996,"Private","Mid East",0.9378,22,20,20,44066,18112,78768,0.7261029412,0.802399978637695,0.0967000007629394,0.111899995803833,0.0296000003814697,0.565656565657,0.54501216545,20500,51600
"803","Mount St. Mary's University","Emmitsburg","MD",1822,"Private","Mid East",0.6813,22,18,18,55420,17060,69894,0.5489949749,0.817600021362304,0.115,0.0421000003814697,0.0323000001907348,0.628415300546,0.63981042654,19500,52600
"804","Mount Vernon Nazarene University","Mount Vernon","OH",1671,"Private","Great Lakes",0.7575,23,20,20,40379,11240,56178,0.64453524,0.922399978637695,0.0486999988555908,0.0137000000476837,0.0094999998807907,0.398692810458,0.389534883721,18719,43600
"805","Muhlenberg College","Allentown","PA",2285,"Private","Mid East",0.6179,28,26,26,65122,24266,80955,0.5819672131,0.869199981689453,0.0521000003814697,0.0526000022888183,0.0428999996185302,0.679738562092,0.796380090498,23250,59400
"807","Murray State University","Murray","KY",6830,"Public","South East",0.8142,24,21,21,20984,8564,62613,0.6265372168,0.892799987792968,0.0796000003814697,0.0173000001907348,0.0072000002861022,0.410062893082,0.498742665549,16238,37100
"808","Muskingum University","New Concord","OH",1544,"Private","Great Lakes",0.7218,22,19,19,40533,11316,92664,0.5278106509,0.925199966430664,0.0478000020980835,0.0125999999046325,0.0087999999523162,0.371541501976,0.497757847534,19288,39600
"816","Nebraska Methodist College of Nursing & Allied Health","Omaha","NE",775,"Private","Plains",0.907,23,21,21,30388,14948,51804,0.8992537313,0.907699966430664,0.0415999984741211,0.0397000002861023,0.0146000003814697,0.65625,0.742738589212,20000,48700
"817","Nebraska Wesleyan University","Lincoln","NE",1839,"Private","Plains",0.7208,25,21,21,45298,12123,61002,0.5741150442,0.938300018310547,0.0136000001430511,0.0370000004768371,0.0130999994277954,0.490445859873,0.525597269625,18750,46000
"818","Neumann University","Aston","PA",1907,"Private","Mid East",0.6902,19,16,16,44057,19698,62739,0.6633484163,0.769499969482422,0.169799995422363,0.0359999990463256,0.0286999988555908,0.439716312057,0.484674329502,24176,44300
"825","New Jersey Institute of Technology","Newark","NJ",7820,"Public","Mid East",0.6366,28,25,25,30562,14578,112896,0.2094848175,0.658000030517578,0.155600004196167,0.172199993133544,0.0798000001907348,0.45,0.467811158798,18000,68500
"827","New Mexico Institute of Mining and Technology","Socorro","NM",1333,"Public","South West",0.2316,26,23,23,21244,6416,75915,0.2549450549,0.707300033569336,0.0238000011444091,0.363899993896484,0.0187000000476837,0.330275229358,0.266666666667,12325,50000
"828","New Mexico State University-Main Campus","Las Cruces","NM",11139,"Public","South West",0.6566,20,17,17,17885,4639,78363,0.5765614035,0.693399963378906,0.0252999997138977,0.488800010681152,0.0105999994277954,0.252852578731,0.305090909091,11000,34600
"829","New York Institute of Technology","Old Westbury","NY",3592,"Private","Mid East",0.7575,25,22,22,48237,35135,108855,0.3745148771,0.680100021362304,0.162999992370605,0.144099998474121,0.058600001335144,0.315634218289,0.382352941176,15200,55100
"830","New York University","New York","NY",26339,"Private","Mid East",0.1999,32,29,29,69830,36731,126504,0.6113892365,0.741500015258789,0.101099996566772,0.12079999923706,0.0751000022888183,0.729180327869,0.798564378645,19500,61900
"831","Newberry College","Newberry","SC",1205,"Private","South East",0.6634,20,17,17,39552,10825,51642,0.4489795918,0.701299972534179,0.257999992370605,0.0392000007629394,0.0115999996662139,0.366459627329,0.5703125,14000,36900
"833","Newman University","Wichita","KS",1073,"Private","Plains",0.6182,23,20,20,36979,8994,52245,0.7261261261,0.828600006103515,0.0638999986648559,0.0997000026702881,0.0235999989509582,0.473214285714,0.561224489796,15250,44000
"835","Niagara University","Niagara University","NY",2749,"Private","Mid East",0.8663,24,22,22,44702,13058,78192,0.6471910112,0.896100006103515,0.0625,0.0253999996185302,0.0135000002384185,0.585858585859,0.654788418708,21875,42800
"836","Nicholls State University","Thibodaux","LA",5543,"Public","South East",0.937,22,20,20,19041,6515,55251,0.6346546792,0.684499969482422,0.263700008392334,0.0260999989509582,0.0124000000953674,0.294845360825,0.378021978022,11750,37500
"838","Norfolk State University","Norfolk","VA",4636,"Public","South East",0.8969,19,16,16,24948,5513,73647,0.6717408275,0.500200004577636,0.420999984741211,0.0525,0.0277999997138977,0.268588770865,0.339622641509,20695,35800
"839","North Carolina A & T State University","Greensboro","NC",10299,"Public","South East",0.6143,20,17,17,17639,6512,78498,0.569954356,0.534199981689453,0.392999992370605,0.0546999979019165,0.02,0.316337148803,0.409226190476,21002,34700
"840","North Carolina Central University","Durham","NC",5913,"Public","South East",0.4664,19,17,17,21885,6130,75663,0.6721552485,0.535099983215332,0.387299995422363,0.0623000001907348,0.0223000001907348,0.360563380282,0.448099415205,24500,32900
"841","North Carolina State University at Raleigh","Raleigh","NC",23708,"Public","South East",0.4685,29,27,27,23600,10797,98676,0.4999182873,0.749000015258789,0.187000007629394,0.0457999992370605,0.0202999997138977,0.652109181141,0.739966082533,18438,52500
"842","North Carolina Wesleyan College","Rocky Mount","NC",1999,"Private","South East",0.6279,18,15,15,41924,10709,53334,0.605680317,0.619799995422363,0.316800003051757,0.0476000022888183,0.0163999998569488,0.352941176471,0.479166666667,14750,38600
"843","North Central College","Naperville","IL",2641,"Private","Great Lakes",0.5568,24,21,21,49461,16867,74682,0.5386363636,0.853499984741211,0.0553000020980835,0.0784000015258789,0.0432999992370605,0.584158415842,0.715294117647,19500,47800
"844","North Central University","Minneapolis","MN",921,"Private","Plains",0.9004,22,19,19,34813,12198,60111,0.5682281059,0.895899963378906,0.0417999982833862,0.0373000001907348,0.0198000001907348,0.394117647059,0.488151658768,18904,34600
"845","North Dakota State University-Main Campus","Fargo","ND",11182,"Public","Plains",0.9253,24,21,21,20733,10016,81963,0.4788853162,0.945,0.0076999998092651,0.0169000005722045,0.0089999997615814,0.453937592868,0.508515815085,15000,48200
"846","North Greenville University","Tigerville","SC",2025,"Private","South East",0.5962,26,21,21,35839,10052,56034,0.4636711281,0.780699996948242,0.18079999923706,0.0325999999046325,0.0105999994277954,0.467320261438,0.498194945848,13000,34400
"847","North Park University","Chicago","IL",1967,"Private","Great Lakes",0.4658,22,19,19,36759,17824,70092,0.6128078818,0.726800003051757,0.11579999923706,0.144399995803833,0.0582999992370605,0.514018691589,0.52987012987,19500,43700
"848","Northeastern Illinois University","Chicago","IL",6306,"Public","Great Lakes",0.5563,19,15,15,25281,8259,72495,0.6059467919,0.589900016784668,0.171499996185302,0.252800006866455,0.0748999977111816,0.315668202765,0.33875106929,10500,37900
"849","Northeastern State University","Tahlequah","OK",6332,"Public","South West",0.9754,21,18,18,16625,5699,59508,0.6183852434,0.699100036621093,0.0530000019073486,0.0375,0.0072000002861022,0.319121447028,0.415077989601,12212,35800
"850","Northeastern University","Boston","MA",13760,"Private","New England",0.1934,33,32,32,67894,37140,118422,0.541089566,0.843199996948242,0.0646000003814697,0.0621999979019165,0.0411999988555908,0.612605042017,0.604781997187,23989,67400
"853","Northern Illinois University","Dekalb","IL",12761,"Public","Great Lakes",0.5438,22,19,19,32244,6727,74709,0.534562212,0.779000015258789,0.12289999961853,0.100900001525878,0.0347000002861023,0.466449207829,0.512574302698,18250,45500
"854","Northern Kentucky University","Highland Heights","KY",10201,"Public","South East",0.8926,23,20,20,17711,8855,69084,0.585591133,0.918499984741211,0.0559999990463256,0.0129999995231628,0.0087000000476837,0.358258011504,0.398284313725,14000,37500
"855","Northern Michigan University","Marquette","MI",6722,"Public","Great Lakes",0.6574,23,20,20,22224,9166,75483,0.5367847411,0.9125,0.0354999995231628,0.0238000011444091,0.0107000005245208,0.397344228805,0.464937560038,15000,35500
"856","Northern State University","Aberdeen","SD",1451,"Public","Plains",0.8811,22,19,19,20148,5465,65169,0.6053333333,0.920599975585937,0.0113999998569488,0.0295000004768371,0.0075,0.309090909091,0.384615384615,16795,35300
"859","Northwest Christian University","Eugene","OR",555,"Private","Far West",0.6242,21,18,18,39545,10051,48861,0.6355932203,0.893199996948242,0.0101999998092651,0.0657000017166137,0.0187999999523162,0.485714285714,0.554621848739,15000,43100
"860","Northwest Missouri State University","Maryville","MO",5193,"Public","Plains",0.7915,22,19,19,19346,7405,64377,0.6122856003,0.924700012207031,0.0438999986648559,0.0222000002861022,0.0072000002861022,0.384485666105,0.420707732634,14000,40000
"861","Northwest Nazarene University","Nampa","ID",1268,"Private","Rocky Mountains",0.7094,24,20,20,38842,10007,56709,0.625577812,0.867200012207031,0.0120000004768371,0.107799997329711,0.02,0.394160583942,0.601769911504,18500,39600
"862","Northwest University","Kirkland","WA",922,"Private","Far West",0.9521,24,21,21,41757,17644,60651,0.6165254237,0.837600021362304,0.0265000009536743,0.0642000007629394,0.0567000007629394,0.396341463415,0.519841269841,13000,41300
"864","Northwestern College","Orange City","IA",1006,"Private","Plains",0.7143,24,21,21,43520,11692,60606,0.5496828753,0.944800033569336,0.0135000002384185,0.0345000004768371,0.0115999996662139,0.488888888889,0.653179190751,17375,38400
"865","Northwestern Oklahoma State University","Alva","OK",1681,"Public","South West",0.6239,20,17,17,15616,5130,57024,0.6063249727,0.865199966430664,0.0446000003814697,0.0601000022888183,0.0081999999284744,0.221476510067,0.366153846154,9258,36400
"866","Northwestern State University of Louisiana","Natchitoches","LA",8265,"Public","South East",0.8198,22,19,19,20612,6171,56799,0.7343553657,0.650100021362304,0.304699993133544,0.0296000003814697,0.0093999999761581,0.359154929577,0.410714285714,13000,34300
"867","Northwestern University","Evanston","IL",8451,"Private","Great Lakes",0.0847,34,33,33,72960,30915,154701,0.5243467933,0.780199966430664,0.0915999984741211,0.0985999965667724,0.0605000019073486,0.846899224806,0.845070422535,14385,69000
"868","Northwood University","Midland","MI",2744,"Private","Great Lakes",0.6754,22,19,19,39922,15683,63909,0.4816608997,0.766999969482422,0.150699996948242,0.095,0.0204999995231628,0.438240270728,0.506048387097,18500,48900
"870","Notre Dame College","Cleveland","OH",1340,"Private","Great Lakes",0.8965,19,17,17,42206,12656,47997,0.5147368421,0.730999984741211,0.228600006103515,0.0206999993324279,0.0153999996185302,0.170491803279,0.363076923077,16750,42600
"871","Notre Dame de Namur University","Belmont","CA",871,"Private","Far West",0.8152,19,17,17,52143,18765,82053,0.7032136106,0.623899993896484,0.0397000002861023,0.203099994659423,0.172399997711181,0.307142857143,0.39928057554,18750,56400
"873","Nova Southeastern University","Fort Lauderdale","FL",4856,"Private","South East",0.7854,25,22,22,47432,29158,92070,0.7459016393,0.719300003051757,0.184799995422363,0.241900005340576,0.025,0.405092592593,0.495726495726,18000,45300
"874","Nyack College","New York","NY",1329,"Private","Mid East",0.9825,20,17,17,39048,13019,60147,0.5926773455,0.540299987792968,0.281700000762939,0.182900009155273,0.0515999984741211,0.316602316602,0.393139841689,17897,41300
"875","Oakland City University","Oakland City","IN",563,"Private","Great Lakes",0.497,19,16,16,36016,23285,50427,0.5695364238,0.945299987792968,0.0326999998092651,0.0147000002861022,0.0050999999046325,0.567010309278,0.505747126437,12500,33600
"876","Oakland University","Rochester Hills","MI",15476,"Public","Great Lakes",0.8391,25,21,21,21231,12024,85068,0.6078042328,0.805100021362304,0.140500001907348,0.0224000000953674,0.0258999991416931,0.424107142857,0.462612612613,18500,43100
"877","Oakwood University","Huntsville","AL",1569,"Private","South East",0.6589,19,16,16,36361,14766,44730,0.5860805861,0.544000015258789,0.349099998474121,0.100100002288818,0.0317000007629394,0.143540669856,0.217391304348,21500,29700
"878","Oberlin College","Oberlin","OH",2785,"Private","Great Lakes",0.3621,30,29,29,71330,30337,85194,0.5568,0.797600021362304,0.0917000007629394,0.0769000005722046,0.0484000015258789,0.708860759494,0.727777777778,21215,40800
"879","Occidental College","Los Angeles","CA",1910,"Private","Far West",0.373,30,28,28,71756,29134,101637,0.5845070423,0.684300003051757,0.0640000009536743,0.197600002288818,0.1025,0.837209302326,0.83950617284,20500,50600
"881","Oglethorpe University","Atlanta","GA",1241,"Private","South East",0.6164,25,22,22,51507,12798,62415,0.6014109347,0.658799972534179,0.253199996948242,0.0669999980926513,0.0372000002861023,0.470588235294,0.445859872611,15035,42100
"883","Ohio Dominican University","Columbus","OH",1080,"Private","Great Lakes",0.7535,22,19,19,42156,12829,63315,0.538573508,0.806699981689453,0.143500003814697,0.0206999993324279,0.02,0.456621004566,0.444852941176,17875,41000
"884","Ohio Northern University","Ada","OH",2144,"Private","Great Lakes",0.683,25,22,22,46118,16291,79101,0.415625,0.924000015258789,0.0444000005722045,0.0183000004291534,0.0110000002384185,0.536585365854,0.631578947368,21625,63500
"886","Ohio State University-Main Campus","Columbus","OH",45769,"Public","Great Lakes",0.5197,30,27,27,26555,15164,111510,0.5203439089,0.876699981689453,0.0805000019073486,0.021800000667572,0.0177999997138977,0.53194920379,0.611524163569,14750,46100
"887","Ohio University-Main Campus","Athens","OH",22072,"Public","Great Lakes",0.783,24,21,21,27705,11399,81738,0.634900623,0.91870002746582,0.0513000011444091,0.0121000003814697,0.0112999999523162,0.408959537572,0.496054595863,14000,40500
"889","Oklahoma Baptist University","Shawnee","OK",1808,"Private","South West",0.6431,23,20,20,39383,10873,62352,0.5714285714,0.814100036621093,0.0555999994277954,0.0634999990463257,0.0187999999523162,0.31884057971,0.438596491228,13156,40500
"890","Oklahoma Christian University","Edmond","OK",1813,"Private","South West",0.6476,24,20,20,34418,10301,62109,0.5221606648,0.818199996948242,0.0625,0.0847000026702881,0.0266000008583068,0.48275862069,0.510752688172,17397,38500
"891","Oklahoma City University","Oklahoma City","OK",1691,"Private","South West",0.7618,26,23,23,44858,17739,63972,0.6931506849,0.767900009155273,0.105500001907348,0.0769000005722046,0.0295000004768371,0.530769230769,0.689243027888,18367,42800
"893","Oklahoma State University-Main Campus","Stillwater","OK",20323,"Public","South West",0.7379,25,22,22,23446,10616,81540,0.5257599543,0.805199966430664,0.0596000003814697,0.0505999994277954,0.018400000333786,0.471807228916,0.536728697356,15000,46500
"894","Oklahoma Wesleyan University","Bartlesville","OK",905,"Private","South West",0.6773,19,16,16,38892,12661,53118,0.573257468,0.809899978637695,0.0451000022888183,0.0434000015258789,0.0110000002384185,0.372413793103,0.549356223176,13979,50900
"895","Old Dominion University","Norfolk","VA",19194,"Public","South East",0.8699,21,18,18,23993,7380,75852,0.6019766397,0.675199966430664,0.255499992370605,0.0369000005722045,0.029300000667572,0.367803837953,0.417457998539,17500,43700
"896","Olivet College","Olivet","MI",986,"Private","Great Lakes",0.7131,19,16,16,39971,12344,54576,0.3909774436,0.835599975585937,0.116400003433227,0.035,0.0114999997615814,0.378048780488,0.521126760563,14000,38400
"897","Olivet Nazarene University","Bourbonnais","IL",3209,"Private","Great Lakes",0.6506,23,20,20,46147,13125,65664,0.6257142857,0.821100006103515,0.116000003814697,0.0613000011444091,0.0176999998092651,0.506369426752,0.596187175043,19000,40400
"898","Oral Roberts University","Tulsa","OK",3159,"Private","South West",0.805,22,19,19,40935,12476,67293,0.6058201058,0.778799972534179,0.111999998092651,0.0932999992370605,0.0254999995231628,0.422818791946,0.47619047619,18500,37600
"900","Oregon Institute of Technology","Klamath Falls","OR",3558,"Public","Far West",0.9585,23,20,20,22493,7737,67365,0.4947515745,0.873600006103515,0.0123000001907348,0.0784000015258789,0.0222000002861022,0.397228637413,0.470588235294,15452,56600
"901","Oregon State University","Corvallis","OR",24787,"Public","Far West",0.8063,25,22,22,25843,12147,89190,0.5083557321,0.860400009155273,0.015900000333786,0.0796000003814697,0.0364000010490417,0.46519524618,0.538028169014,17000,49600
"902","Oregon State University-Cascades Campus","Bend","OR",946,"Public","Far West",0.7799,24,21,21,23702,4290,96732,0.5083557321,0.860400009155273,0.015900000333786,0.0796000003814697,0.0364000010490417,0.46519524618,0.538028169014,17000,49600
"903","Otis College of Art and Design","Los Angeles","CA",1080,"Private","Far West",0.9441,23,20,20,61776,33696,70839,0.6167664671,0.622900009155273,0.0732000017166137,0.259699993133544,0.126700000762939,0.735294117647,0.666666666667,26500,44900
"904","Ottawa University-Ottawa","Ottawa","KS",706,"Private","Plains",0.7815,19,17,17,42254,13778,54306,0.6274509804,0.803199996948242,0.0835999965667724,0.127399997711181,0.0187999999523162,0.25,0.340186915888,12500,41500
"906","Otterbein University","Westerville","OH",2361,"Private","Great Lakes",0.8102,24,21,21,44497,14994,66771,0.59375,0.885699996948242,0.0728000020980835,0.0196000003814697,0.0169000005722045,0.429718875502,0.527851458886,20791,43100
"907","Ouachita Baptist University","Arkadelphia","AR",1546,"Private","South East",0.636,25,21,21,37349,10407,57762,0.4945054945,0.789899978637695,0.127799997329711,0.0763000011444091,0.0236999988555908,0.532846715328,0.570512820513,14778,41200
"908","Our Lady of the Lake University","San Antonio","TX",1383,"Private","South West",0.9273,19,17,17,39203,19461,64836,0.6926713948,0.676100006103515,0.0771000003814697,0.565400009155273,0.0180999994277954,0.311594202899,0.453201970443,18808,39300
"909","Ozark Christian College","Joplin","MO",600,"Private","Plains",0.5755,24,20,20,22324,8922,45693,0.5020408163,0.895800018310547,0.031800000667572,0.0486999988555908,0.0114999997615814,0.454545454545,0.445544554455,14500,30500
"910","Pace University","New York","NY",8439,"Private","Mid East",0.7587,25,22,22,61607,21158,110403,0.6534384344,0.692600021362304,0.138000001907348,0.155299997329711,0.0659999990463257,0.445292620865,0.539384846212,18750,60300
"911","Pacific Lutheran University","Tacoma","WA",2739,"Private","Far West",0.7979,24,20,20,53352,18734,70677,0.6463414634,0.816600036621093,0.0405000019073486,0.0626999998092651,0.0509000015258789,0.555555555556,0.667431192661,19542,49400
"914","Pacific Union College","Angwin","CA",1038,"Private","Far West",0.4944,22,18,18,42620,16868,56565,0.6164154104,0.702900009155273,0.0455000019073486,0.198600006103515,0.0905000019073486,0.454022988506,0.45306122449,21500,51700
"915","Pacific University","Forest Grove","OR",1820,"Private","Far West",0.8531,24,21,21,57488,24321,74376,0.6058763931,0.75120002746582,0.0153999996185302,0.0931999969482422,0.0986999988555908,0.567307692308,0.694444444444,18907,46600
"916","Paine College","Augusta","GA",453,"Private","South East",0.3972,16,14,14,24745,10037,42642,0.5548387097,0.452700004577636,0.493400001525879,0.0426999998092651,0.0162000000476837,0.135135135135,0.25974025974,18500,28200
"917","Palm Beach Atlantic University","West Palm Beach","FL",2400,"Private","South East",0.9529,23,20,20,45037,17279,68508,0.6783216783,0.775500030517578,0.149899997711181,0.110699996948242,0.0187000000476837,0.413145539906,0.468302658487,15000,40600
"922","Pennsylvania State University-Main Campus","University Park","PA",40108,"Public","Mid East",0.5649,28,25,25,36048,29309,100251,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"923","Pennsylvania State University-Penn State Abington","Abington","PA",3683,"Public","Mid East",0.8475,24,22,22,27348,5114,73728,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"924","Pennsylvania State University-Penn State Altoona","Altoona","PA",3220,"Public","Mid East",0.9088,23,20,20,30272,6005,72108,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"925","Pennsylvania State University-Penn State Beaver","Monaca","PA",576,"Public","Mid East",0.6433,23,20,20,24125,8055,76743,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"926","Pennsylvania State University-Penn State Berks","Reading","PA",2509,"Public","Mid East",0.8723,24,21,21,29402,5994,78282,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"927","Pennsylvania State University-Penn State Brandywine","Media","PA",1313,"Public","Mid East",0.8685,25,21,21,28196,5863,77805,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"928","Pennsylvania State University-Penn State Erie-Behrend College","Erie","PA",4117,"Public","Mid East",0.8912,25,22,22,30604,6895,81855,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"929","Pennsylvania State University-Penn State Fayette- Eberly","Lemont Furnace","PA",637,"Public","Mid East",0.8045,19,17,17,22870,6850,69309,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"930","Pennsylvania State University-Penn State Greater Allegheny","McKeesport","PA",456,"Public","Mid East",0.8728,25,23,23,25700,10673,74907,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"931","Pennsylvania State University-Penn State Harrisburg","Middletown","PA",4162,"Public","Mid East",0.8775,25,23,23,29221,6235,87822,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"932","Pennsylvania State University-Penn State Hazleton","Hazleton","PA",634,"Public","Mid East",0.8584,24,20,20,27582,8142,78003,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"933","Pennsylvania State University-Penn State Lehigh Valley","Center Valley","PA",841,"Public","Mid East",0.8536,24,19,19,26729,6139,66528,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"934","Pennsylvania State University-Penn State Mont Alto","Mont Alto","PA",710,"Public","Mid East",0.7617,25,22,22,27014,7576,73530,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"935","Pennsylvania State University-Penn State New Kensington","New Kensington","PA",567,"Public","Mid East",0.8005,22,18,18,23955,7691,72090,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"937","Pennsylvania State University-Penn State Scranton","Dunmore","PA",970,"Public","Mid East",0.8228,19,16,16,24371,5497,73989,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"938","Pennsylvania State University-Penn State Wilkes-Barre","Lehman","PA",401,"Public","Mid East",0.8601,26,24,24,24039,7950,75312,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"939","Pennsylvania State University-Penn State York","York","PA",888,"Public","Mid East",0.8534,23,21,21,25651,6203,78588,0.5012260053,0.875999984741211,0.0734000015258789,0.0347000002861023,0.0223000001907348,0.544184832267,0.602534717541,19500,50100
"941","Pepperdine University","Malibu","CA",3619,"Private","Far West",0.3565,29,26,26,70862,31625,111483,0.587537092,0.737399978637695,0.0573999977111816,0.1725,0.0788000011444091,0.720472440945,0.836228287841,21500,65500
"943","Pfeiffer University","Misenheimer","NC",900,"Private","South East",0.6453,20,17,17,42382,12209,61272,0.5373737374,0.761399993896484,0.177999992370605,0.0515000009536743,0.0196000003814697,0.34,0.478672985782,15280,39200
"945","Piedmont College","Demorest","GA",1217,"Private","South East",0.5961,22,19,19,37806,13170,62073,0.6679197995,0.823899993896484,0.124200000762939,0.0478999996185302,0.0170000004768371,0.539130434783,0.573529411765,16218,40600
"948","Pittsburg State University","Pittsburg","KS",5067,"Public","Plains",0.8958,23,18,18,18102,5364,66285,0.5119899032,0.909199981689453,0.03,0.0309999990463256,0.0088999998569488,0.434944237918,0.498724489796,14000,39400
"951","Point Loma Nazarene University","San Diego","CA",3130,"Private","Far West",0.6893,27,24,24,49512,21015,91701,0.6855018587,0.729100036621093,0.0395000004768371,0.219300003051757,0.0709000015258789,0.689655172414,0.741666666667,19500,50900
"952","Point Park University","Pittsburgh","PA",3170,"Private","Mid East",0.6507,23,20,20,42216,15639,73323,0.630620985,0.843799972534179,0.121400003433227,0.0180999994277954,0.0139999997615814,0.483783783784,0.529945553539,21500,37100
"953","Point University","West Point","GA",1029,"Private","South East",0.5318,19,16,16,32000,9966,55746,0.4329461457,0.699000015258789,0.250599994659423,0.0440000009536743,0.0170000004768371,0.272727272727,0.494845360825,9500,32500
"958","Portland State University","Portland","OR",18541,"Public","Far West",0.902,22,18,18,21159,9467,86850,0.5823633157,0.830299987792968,0.034300000667572,0.0771999979019165,0.0490999984741211,0.411297440424,0.428471737613,16500,44700
"960","Prairie View A & M University","Prairie View","TX",8524,"Public","South West",0.7434,19,16,16,23579,5412,73845,0.6100395073,0.490800018310547,0.342400016784668,0.217199993133544,0.0372000002861023,0.267065868263,0.343295638126,17749,35700
"961","Pratt Institute-Main","Brooklyn","NY",3591,"Private","Mid East",0.507,28,25,25,65249,33625,96525,0.7066037736,0.758199996948242,0.110500001907348,0.115100002288818,0.0578999996185302,0.686274509804,0.636363636364,20000,43400
"962","Presbyterian College","Clinton","SC",973,"Private","South East",0.6885,22,19,19,51693,17015,72162,0.4893617021,0.748600006103515,0.211399993896484,0.0299000000953674,0.0144000005722045,0.572916666667,0.682926829268,18600,44500
"963","Presentation College","Aberdeen","SD",681,"Private","Plains",0.9656,21,18,18,31998,15055,47142,0.671592775,0.885800018310547,0.0049000000953674,0.0200999999046325,0.0057999998331069,0.281553398058,0.464864864865,13905,34700
"964","Princeton University","Princeton","NJ",5301,"Private","Mid East",0.0548,34,32,32,66950,12995,181665,0.5136436597,0.729499969482422,0.132799997329711,0.11,0.0611999988555908,0.843575418994,0.929936305732,8500,74700
"966","Providence College","Providence","RI",4079,"Private","New England",0.4897,28,26,26,64808,26713,95724,0.5771028037,0.888199996948242,0.0399000000953674,0.0526999998092651,0.0288000011444091,0.810397553517,0.813471502591,27000,64100
"967","Purdue University-Main Campus","West Lafayette","IN",33495,"Public","Great Lakes",0.5798,29,25,25,22430,16369,111762,0.4732072498,0.894800033569336,0.05,0.0432000017166137,0.0215000009536743,0.682308775223,0.760939167556,15750,55100
"968","Purdue University Fort Wayne","Fort Wayne","IN",7270,"Public","Great Lakes",0.9661,22,18,18,18073,6651,68787,0.5872044506,0.893399963378906,0.0617000007629394,0.0363000011444091,0.0103999996185302,0.275754422477,0.323954372624,12019,36500
"974","Queens University of Charlotte","Charlotte","NC",1695,"Private","South East",0.7854,24,21,21,48369,12169,67761,0.7336182336,0.747699966430664,0.188999996185302,0.0503000020980835,0.0233999991416931,0.41935483871,0.491620111732,20328,42200
