"date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts"
"3/25/1986","23-036","CHI","NYK","W","19:00",5,12,0.417,0,1,0,9,9,1,1,2,3,3,1,0,2,19
"1/19/1997","33-337","CHI","HOU","L","43:00:00",8,25,0.32,1,6,0.167,9,9,1,3,11,14,5,1,1,1,26
"2/15/1998","34-363","CHI","DET","W","41:00:00",7,17,0.412,0,1,0,7,8,0.875,1,11,12,5,3,0,3,21
"12/6/1986","23-292","CHI","SAS","L","44:00:00",18,38,0.474,0,2,0,7,7,1,5,0,5,3,1,1,2,43
"12/3/1988","25-290","CHI","DAL","W","43:00:00",16,31,0.516,0,0,NA,7,8,0.875,3,8,11,6,2,3,2,39
"12/26/1996","33-313","CHI","ATL","L","40:00:00",10,25,0.4,2,5,0.4,12,13,0.923,0,3,3,1,2,1,0,34
"2/19/1991","28-002","CHI","WSB","W","38:00:00",15,27,0.556,0,1,0,10,10,1,3,9,12,4,1,0,2,40
"4/9/2003","40-051","WAS","BOS","L","43:00:00",8,17,0.471,1,2,0.5,4,4,1,0,10,10,1,2,0,1,21
"3/3/1992","29-015","CHI","IND","L","39:00:00",12,21,0.571,0,0,NA,3,5,0.6,2,5,7,5,0,1,2,27
"1/14/1991","27-331","CHI","MIL","W","45:00:00",13,27,0.481,1,3,0.333,7,7,1,1,9,10,9,3,2,2,34
"12/20/1984","21-307","CHI","ATL","W","41:00:00",12,22,0.545,0,0,NA,10,16,0.625,4,4,8,7,5,1,7,34
"12/27/1997","34-313","CHI","ATL","W","36:00:00",18,26,0.692,0,0,NA,11,13,0.846,2,2,4,2,3,1,4,47
"3/31/1989","26-042","CHI","CLE","L","43:00:00",15,29,0.517,1,2,0.5,6,7,0.857,2,8,10,10,3,1,3,37
"11/15/1991","28-271","CHI","MIL","W","37:00:00",5,10,0.5,0,0,NA,7,8,0.875,2,5,7,11,1,0,3,17
"3/6/1987","24-017","CHI","NYK","L","39:00:00",10,24,0.417,0,0,NA,7,9,0.778,3,5,8,5,8,3,4,27
"11/4/1995","32-260","CHI","BOS","W","21:00",5,12,0.417,0,1,0,5,7,0.714,0,0,0,3,3,1,0,15
"3/19/1995","32-030","CHI","IND","L","43:00:00",7,28,0.25,0,4,0,5,6,0.833,2,4,6,6,3,0,3,19
"4/7/1998","35-049","CHI","WAS","W","33:00:00",11,21,0.524,1,2,0.5,7,8,0.875,1,3,4,3,1,1,2,30
"11/28/1997","34-284","CHI","IND","L","42:00:00",11,26,0.423,0,2,0,4,8,0.5,1,6,7,2,2,0,1,26
"11/10/1984","21-267","CHI","IND","W","42:00:00",9,22,0.409,0,0,NA,9,12,0.75,2,7,9,4,2,5,3,27
"1/4/1996","32-321","CHI","CHH","W","34:00:00",11,20,0.55,0,1,0,5,7,0.714,1,4,5,5,1,0,1,27
"3/17/1986","23-028","CHI","ATL","L","14:00",4,16,0.25,0,1,0,9,10,0.9,3,1,4,1,7,1,1,17
"3/30/1996","33-042","CHI","LAC","W","34:00:00",6,15,0.4,0,1,0,9,10,0.9,4,5,9,6,2,0,1,21
"3/11/1989","26-022","CHI","SEA","W","40:00:00",8,13,0.615,0,0,NA,2,2,1,1,7,8,15,1,3,3,18
"11/8/1997","34-264","CHI","NJN","W","33:00:00",5,13,0.385,0,1,0,5,8,0.625,1,4,5,2,2,0,2,15
"11/6/1991","28-262","CHI","BOS","W","38:00:00",16,26,0.615,3,4,0.75,9,9,1,0,3,3,6,1,1,2,44
