"","Claim_Number","Year","Month","Day","Airline_Name","Airport_Code","Claim_Type","Claim_Site","Item","Claim_Amount","Status","Close_Amount"
"24875","2005090000000",2005,8,"17 00:00:00","Delta Air Lines","SEA","Passenger Property Loss","Checkpoint","Other",768,"Denied",0
"27723","2005110000000",2005,9,"29 00:00:00","Jet Blue","JFK","Passenger Property Loss","Checked Baggage","Locks",9.74,"Approved",9.74
"18933","2005050000000",2005,3,"18 00:00:00","American Airlines","PHL","Passenger Property Loss","Checked Baggage","Luggage (all types including footlockers)",16.96,"Approved",16.96
"22876","2005070000000",2005,5,"12 00:00:00","Northwest Airlines","DTW","Property Damage","Checkpoint","Computer - Laptop",2249.97,"Settled",1332.71
"20987","2005060000000",2005,5,"29 00:00:00","Delta Air Lines","ISP","Property Damage","Checkpoint","Eyeglasses - (including contact lenses)",120,"Approved",120
"27281","2005110000000",2005,10,"17 00:00:00","Delta Air Lines","BNA","Passenger Property Loss","Checked Baggage","Computer - Laptop",1896,"Denied",0
"1057","0310061M",2004,2,"17 00:00:00","Southwest Airlines","PDX","Property Damage","Checked Baggage","Other",352.88,"Denied",0
"11251","2004120000000",2004,10,"27 00:00:00","Southwest Airlines","ALB","Passenger Property Loss","Checked Baggage","Cameras - Digital",227.29,"Settled",207.91
"4771","2004060000000",2004,5,"16 00:00:00","Frontier Airlines","DEN","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",50,"Settled",25
"17021","2005040000000",2005,1,"24 00:00:00","Delta Air Lines","GNV","Passenger Property Loss","Checkpoint","Other",10,"Approved",10
"8874","2004100000000",2004,8,"25 00:00:00","Delta Air Lines","ORD","Passenger Theft","Checkpoint","Jewelry - Fine",250,"Settled",71.83
"21737","2005070000000",2005,5,"15 00:00:00","UAL","ORD","Property Damage","Checked Baggage","Other",150,"Denied",0
"2465","2004050000000",2004,4,"01 00:00:00","Delta Air Lines","PBI","Property Damage","Checked Baggage","Luggage (all types including footlockers)",50,"Approved",50
"29498","2005120000000",2005,11,"29 00:00:00","Southwest Airlines","ELP","Passenger Property Loss","Checked Baggage","Locks",31.91,"Denied",0
"15876","2005030000000",2005,1,"08 00:00:00","American Airlines","BDL","Passenger Property Loss","Checked Baggage","Jewelry - Fine",1100,"Settled",500
"19109","2005050000000",2005,4,"01 00:00:00","Southwest Airlines","ABQ","Passenger Property Loss","Checked Baggage","Other",522,"Denied",0
"16599","2005030000000",2005,2,"13 00:00:00","Other","EWR","Passenger Property Loss","Checked Baggage","Cosmetics - Perfume; toilet articles; medicines; soaps; etc.",23.85,"Approved",23.85
"435","0210183M",2004,1,"07 00:00:00","American Airlines","DFW","Property Damage","Checked Baggage","Luggage (all types including footlockers)",250,"Settled",225
"19969","2005050000000",2005,3,"26 00:00:00","UAL","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",300,"Denied",0
"26659","2005100000000",2005,10,"06 00:00:00","UAL","IAD","Passenger Property Loss","Checked Baggage","Locks",15,"Approved",15
"695","2004050000000",2004,2,"04 00:00:00","Delta Air Lines","FLL","Property Damage","Checked Baggage","Luggage (all types including footlockers)",150,"Settled",50
"4495","2004060000000",2004,5,"05 00:00:00","Continental Airlines","PHX","Passenger Property Loss","Checked Baggage","Eyeglasses - (including contact lenses)",8.24,"Approved",8.24
"7009","2004080000000",2004,5,"24 00:00:00","American Eagle","MRY","Passenger Property Loss","Checkpoint","Other",31.78,"Approved",31.78
"12003","2004120000000",2004,10,"13 00:00:00","American Airlines","MCO","Property Damage","Checked Baggage","Luggage (all types including footlockers)",74.19,"Approved",74.19
"25804","2005090000000",2005,9,"11 00:00:00","Southwest Airlines","BNA","Property Damage","Checked Baggage","Luggage (all types including footlockers)",200,"Settled",50
"12305","2005010000000",2004,10,"24 00:00:00","USAir","ORF","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",42.4,"Approved",42.4
"25724","2005100000000",2005,9,"14 00:00:00","Delta Air Lines","BIL","Passenger Property Loss","Checked Baggage","Locks",8.99,"Approved",8.99
"17557","2005040000000",2005,3,"18 00:00:00","Delta Air Lines","BOS","Passenger Property Loss","Checkpoint","Jewelry - Fine",60,"Approved",60
