Analyze,Reduced,Ignore,Discard,DaqPath,DaqName,Date
,X,,,Occasional\O_029__PRE,1_RedLight_20190819123019.daq,8/19/2019 23:22
,X,,,Frequent\F_029_POST,4_RedLight_20190603132742.daq,6/13/2019 23:45
,X,,,Frequent\F_030__PRE,2_RedLight_20190605094513.daq,6/13/2019 23:59
,,X,,Control\C_030__PRE,2_RedLight_20190607102350.daq,6/13/2019 23:19
,,X,,Control\C_030__PRE,2_RedLight_20190607102406.daq,6/13/2019 23:19
,X,,,Occasional\O_030_POST,3_RedLight_20190820125628.daq,8/27/2019 0:35
,X,,,Frequent\F_031__PRE,2_RedLight_20190606093504.daq,6/14/2019 0:08
,X,,,Occasional\O_109_POST,2_RedLight_20190826134850.daq,8/27/2019 0:57
,X,,,Control\C_115_POST,2_RedLight_20190621150625.daq,6/26/2019 23:19
,,X,,Frequent\F_117__PRE,2_RedLight_20190608092534.daq,6/14/2019 0:11
,X,,,Occasional\O_117__PRE,3_RedLight_20190826160639.daq,8/27/2019 1:47
,X,,,Control\C_118_POST,4_RedLight_20190626124647.daq,6/26/2019 23:30
,X,,,Frequent\F_122_POST,1_RedLight_20190625151001.daq,6/26/2019 23:36
,X,,,Control\C_125_POST,2_RedLight_20190612113419.daq,6/13/2019 23:21
,X,,,Occasional\O_111__PRE,1_RedLight_20200130142031.daq,1/30/2020 23:22
,X,,,Occasional\O_127__PRE,2_RedLight_20200115182107.daq,1/15/2020 23:26
,X,,,Occasional\O_106__PRE,3_RedLight_20191223153127.daq,1/3/2020 23:25
,X,,,Occasional\O_122__PRE,4_RedLight_20191220103638.daq,1/3/2020 23:36
,X,,,Occasional\O_115_POST,3_RedLight_20200217124224.daq,2/17/2020 23:20
