"Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"Saint Mary-of-the-Woods College","Saint Mary of the Woods","IN",707,"Private","Great Lakes",0.721,20,16,16,42462,13270,47331,0.9131455399,0.921100006103515,0.0451999998092651,0.0226999998092651,0.0108000004291534,NA,NA,12260,32300
"Saint Michael's College","Colchester","VT",1655,"Private","New England",0.8265,NA,NA,NA,57461,24234,77139,0.6151515152,0.937099990844726,0.0209999990463256,0.0226999998092651,0.0172000002861022,0.691891891892,0.748091603053,24213,50800
"Saint Norbert College","De Pere","WI",2099,"Private","Great Lakes",0.7768,25,22,22,47602,19773,67698,0.5704989154,0.921500015258789,0.0228999996185302,0.0307999992370605,0.0197000002861022,0.522321428571,0.56462585034,21500,46400
"Saint Peter's University","Jersey City","NJ",2512,"Private","Mid East",0.7424,20,17,17,46196,17359,78264,0.6389891697,0.561399993896484,0.220300006866455,0.229799995422363,0.0765000009536743,0.352697095436,0.418461538462,17621,45800
"Saint Vincent College","Latrobe","PA",1607,"Private","Mid East",0.6835,22,18,18,47807,13333,70137,0.448840382,0.934800033569336,0.0436999988555908,0.0099000000953674,0.0088999998569488,NA,NA,24250,47600
"Saint Xavier University","Chicago","IL",2943,"Private","Great Lakes",0.7395,22,19,19,40553,17256,65619,0.6649061033,0.691999969482422,0.208400001525878,0.120699996948242,0.0207999992370605,0.471428571429,0.58152173913,18000,48200
"Salem College","Winston-Salem","NC",674,"Private","South East",0.3947,25,21,21,45077,9006,54558,NA,0.768300018310547,0.177800006866455,0.0509000015258789,0.0135000002384185,NA,NA,19506,36300
"Salem State University","Salem","MA",6369,"Public","New England",0.847,23,20,20,24954,9151,80721,0.6470921986,0.84,0.0548999977111816,0.080600004196167,0.0357999992370605,0.468242245199,0.590402742074,19197,43500
"Salem University","Salem","WV",747,"Private","South East",NA,NA,NA,NA,27128,11947,30339,0.5482717521,0.802399978637695,0.142799997329711,0.0430000019073486,0.0194000005722045,0.201612903226,0.262931034483,9337,28900
"Salisbury University","Salisbury","MD",7444,"Public","Mid East",0.6217,NA,NA,NA,24288,7258,72135,0.5956829897,0.77620002746582,0.16579999923706,0.0302999997138977,0.0281999993324279,0.575675675676,0.675222112537,15900,50500
"Salve Regina University","Newport","RI",1996,"Private","New England",0.7617,NA,NA,NA,56361,18445,78444,0.7141403866,0.902399978637695,0.0348000001907348,0.0428000020980835,0.0246000003814697,0.551948051948,0.717032967033,26717,53500
"Sam Houston State University","Huntsville","TX",18498,"Public","South West",0.7854,21,19,19,21345,8590,69696,0.6614142466,0.731600036621093,0.137299995422363,0.189799995422363,0.0278999996185302,0.451379763469,0.537763103591,16069,44600
"Samford University","Birmingham","AL",3524,"Private","South East",0.8208,26,23,23,46474,19266,79992,0.6588785047,0.809100036621093,0.146999998092651,0.0325,0.0169000005722045,0.609271523179,0.671009771987,15500,49900
"Samuel Merritt University","Oakland","CA",762,"Private","Far West",NA,NA,NA,NA,NA,28900,95814,0.8061041293,0.642099990844726,0.0730000019073486,0.159200000762939,0.15329999923706,NA,NA,18750,111100
"San Diego Christian College","Santee","CA",448,"Private","Far West",0.6013,20,16,16,45605,19997,60732,0.5431235431,0.723300018310547,0.0505999994277954,0.228999996185302,0.0634999990463257,0.298780487805,0.317535545024,15250,36700
"San Diego State University","San Diego","CA",30018,"Public","Far West",0.3458,25,22,22,22990,6737,98127,0.5842020419,0.64870002746582,0.0576000022888183,0.285699996948242,0.0972999954223632,0.656709558824,0.702228224173,13715,51000
"San Francisco State University","San Francisco","CA",25799,"Public","Far West",0.7176,20,17,17,24434,5482,96696,0.5840236686,0.556100006103515,0.0818000030517578,0.200400009155273,0.205699996948242,0.5,0.527612826603,13000,49200
"San Jose State University","San Jose","CA",27125,"Public","Far West",0.5466,23,19,19,24514,6385,95634,0.521976626,0.524399986267089,0.051100001335144,0.269300003051757,0.222299995422363,0.514889943893,0.602536997886,12899,56100
"Santa Clara University","Santa Clara","CA",5504,"Private","Far West",0.4991,30,28,28,69155,32521,114300,0.5423387097,0.652799987792968,0.0403999996185302,0.174300003051757,0.165300006866455,0.816216216216,0.864161849711,18248,72600
"Sarah Lawrence College","Bronxville","NY",1369,"Private","Mid East",0.5585,30,27,27,70266,27450,91638,0.7279236277,0.753300018310547,0.101000003814697,0.118999996185302,0.0613999986648559,0.655737704918,0.647058823529,13625,43000
"Savannah College of Art and Design","Savannah","GA",11363,"Private","South East",0.7027,24,21,21,55793,26656,82485,0.690795353,0.787699966430664,0.141899995803833,0.0638000011444091,0.0280999994277954,0.585483870968,0.594642857143,17166,36400
"Savannah State University","Savannah","GA",3742,"Public","South East",0.2918,24,21,21,16488,2843,53523,0.6047865459,0.475299987792968,0.470900001525878,0.0409999990463256,0.0177999997138977,0.164652567976,0.278810408922,15000,31300
"School of the Art Institute of Chicago","Chicago","IL",2893,"Private","Great Lakes",0.5855,25,22,22,63848,33923,95373,0.7221584386,0.77370002746582,0.0957999992370605,0.120699996948242,0.0494999980926513,0.55033557047,0.539473684211,19500,33500
"School of Visual Arts","New York","NY",3693,"Private","Mid East",0.7,26,23,23,58397,36760,28476,0.6636971047,0.751399993896484,0.0972999954223632,0.126599998474121,0.0713999986648559,0.687022900763,0.681081081081,22625,41800
"Schreiner University","Kerrville","TX",1207,"Private","South West",0.9122,21,18,18,37389,12622,56862,0.6041358936,0.844700012207031,0.0353999996185302,0.242999992370605,0.0123000001907348,0.3375,0.545023696682,14250,40200
"Scripps College","Claremont","CA",1048,"Private","Far West",0.2424,32,30,30,71060,36851,103302,0.9453551913,0.733600006103515,0.0478000020980835,0.164099998474121,0.0926000022888183,NA,NA,12000,54100
