"ID","AB","R","H","X2B","HR","RBI","SB","CS","BB","SO"
"bregmal01",548,0.16970802919708,0.259124087591241,0.0693430656934307,0.041970802919708,0.16970802919708,0.00182481751824818,0.00364963503649635,0.158759124087591,0.140510948905109
"brownse01",500,0.11,0.23,0.052,0.05,0.146,0.022,0.004,0.102,0.292
"buxtoby01",340,0.179411764705882,0.223529411764706,0.0382352941176471,0.0823529411764706,0.15,0.0176470588235294,0,0.1,0.341176470588235
"cabremi01",397,0.0629722921914358,0.254408060453401,0.0251889168765743,0.0125944584382872,0.10831234256927,0.00251889168765743,0,0.0705289672544081,0.254408060453401
"calhoko01",388,0.0927835051546392,0.195876288659794,0.0360824742268041,0.0309278350515464,0.126288659793814,0.0077319587628866,0.00515463917525773,0.0695876288659794,0.350515463917526
"callal02",228,0.157894736842105,0.236842105263158,0.0263157894736842,0.043859649122807,0.114035087719298,0.0263157894736842,0.0263157894736842,0.131578947368421,0.263157894736842
"candeje01",429,0.114219114219114,0.216783216783217,0.0442890442890443,0.0303030303030303,0.116550116550117,0,0.00233100233100233,0.0652680652680653,0.254079254079254
"canhama01",462,0.153679653679654,0.266233766233766,0.051948051948052,0.0281385281385281,0.132034632034632,0.00649350649350649,0.00216450216450216,0.103896103896104,0.20995670995671
"canoro01",200,0.05,0.15,0.01,0.01,0.04,0,0,0.04,0.25
"caratvi01",272,0.0955882352941176,0.198529411764706,0.0441176470588235,0.0330882352941176,0.125,0,0,0.113970588235294,0.246323529411765
"carlsdy01",432,0.12962962962963,0.236111111111111,0.0694444444444444,0.0185185185185185,0.0972222222222222,0.0115740740740741,0.00462962962962963,0.104166666666667,0.217592592592593
"casalcu01",296,0.135135135135135,0.202702702702703,0.027027027027027,0.0337837837837838,0.114864864864865,0,0,0.162162162162162,0.337837837837838
"casteni01",524,0.106870229007634,0.263358778625954,0.0515267175572519,0.0248091603053435,0.118320610687023,0.0133587786259542,0.00190839694656489,0.0553435114503817,0.248091603053435
"castidi02",262,0.106870229007634,0.206106870229008,0.049618320610687,0.0419847328244275,0.110687022900763,0.00381679389312977,0.00381679389312977,0.0534351145038168,0.286259541984733
"castrha01",420,0.0880952380952381,0.271428571428571,0.05,0.0166666666666667,0.111904761904762,0,0.00238095238095238,0.0404761904761905,0.188095238095238
"castrro01",253,0.0988142292490119,0.233201581027668,0.0316205533596838,0.0434782608695652,0.106719367588933,0.0197628458498024,0.0118577075098814,0.0869565217391304,0.292490118577075
"castrwi01",365,0.128767123287671,0.241095890410959,0.0493150684931507,0.0219178082191781,0.0849315068493151,0.0246575342465753,0.010958904109589,0.0410958904109589,0.224657534246575
"celesgi01",311,0.0964630225080386,0.237942122186495,0.0385852090032154,0.00643086816720257,0.0771704180064309,0.0128617363344051,0.00321543408360129,0.102893890675241,0.247588424437299
"changyu01",462,0.112554112554113,0.212121212121212,0.0367965367965368,0.0238095238095238,0.0930735930735931,0,0.00432900432900433,0.0952380952380952,0.344155844155844
"chapmma01",538,0.154275092936803,0.228624535315985,0.050185873605948,0.050185873605948,0.141263940520446,0.00371747211895911,0.00371747211895911,0.12639405204461,0.315985130111524
"chavimi01",401,0.0972568578553616,0.229426433915212,0.0399002493765586,0.0349127182044888,0.122194513715711,0.00249376558603491,0.00249376558603491,0.0473815461346633,0.314214463840399
"chishja01",213,0.183098591549296,0.253521126760563,0.0469483568075117,0.0657276995305164,0.211267605633803,0.0563380281690141,0.0234741784037559,0.0985915492957746,0.309859154929577
"choiji01",356,0.101123595505618,0.23314606741573,0.0617977528089888,0.0308988764044944,0.146067415730337,0,0,0.162921348314607,0.345505617977528
"clemeer01",326,0.116564417177914,0.184049079754601,0.0245398773006135,0,0.0368098159509202,0,0.00613496932515337,0.0674846625766871,0.159509202453988
